Municipio;Seccion;Electores
ADOLFO ALSINA;Sexta;14.378
ADOLFO GONZALES CHAVES;Sexta;10.847
ALBERTI;Cuarta;9.798
ALMIRANTE BROWN;Tercera;460.982
ARRECIFES;Segunda;26.226
AVELLANEDA;Tercera;297.760
AYACUCHO;Quinta;18.622
AZUL;Septima;59.429
BAHIA BLANCA;Sexta;255.488
BALCARCE;Quinta;41.246
BARADERO;Segunda;31.573
BENITO JUAREZ;Sexta;17.926
BERAZATEGUI;Tercera;279.672
BERISSO;Tercera;83.267
BOLIVAR;Septima;31.364
BRAGADO;Cuarta;37.603
BRANDSEN;Tercera;27.820
CAMPANA;Primera;88.743
CANUELAS;Tercera;54.687
CARLOS CASARES;Cuarta;20.222
CARLOS TEJEDOR;Cuarta;10.110
CAPITAN SARMIENTO;Segunda;13.978
CARMEN DE ARECO;Segunda;13.952
CASTELLI;Quinta;7.978
CHACABUCO;Cuarta;43.596
CHASCOMUS;Quinta;35.949
CHIVILCOY;Cuarta;60.922
COLON;Segunda;22.372
CORONEL DORREGO;Sexta;13.932
CORONEL PRINGLES;Sexta;20.486
CORONEL ROSALES;Sexta;52.104
CORONEL SUAREZ;Sexta;35.188
DAIREAUX;Sexta;15.370
DOLORES;Quinta;25.774
ENSENADA;Tercera;59.231
ESCOBAR;Primera;204.417
ESTEBAN ECHEVERRIA;Tercera;245.355
EXALTACION DE LA CRUZ;Segunda;34.059
EZEIZA;Tercera;150.299
FLORENCIO VARELA;Tercera;341.450
FLORENTINO AMEGHINO;Cuarta;8.106
GENERAL ALVARADO;Quinta;40.134
GENERAL ALVEAR;Septima;9.005
GENERAL ARENALES;Cuarta;15.306
GENERAL BELGRANO;Quinta;17.009
GENERAL GUIDO;Quinta;2.987
GENERAL LA MADRID;Sexta;9.868
GENERAL LAS HERAS;Primera;14.566
GENERAL LAVALLE;Quinta;5.408
GENERAL MADARIAGA;Quinta;20.115
GENERAL PAZ;Quinta;11.954
GENERAL PINTO;Cuarta;10.295
GENERAL PUEYRREDON;Quinta;575.613
GENERAL RODRIGUEZ;Primera;99.080
GENERAL SAN MARTIN;Primera;378.476
GENERAL VIAMONTE;Cuarta;15.875
GENERAL VILLEGAS;Cuarta;25.866
GUAMINI;Sexta;10.079
HIPOLITO YRIGOYEN;Cuarta;8.282
HURLINGHAM;Primera;158.216
ITUZAINGO;Primera;149.383
JOSE C. PAZ;Primera;233.079
JUNIN;Cuarta;82.988
LA COSTA;Quinta;83.039
LA MATANZA;Tercera;1.057.458
LA PLATA;Octava;576.691
LANUS;Tercera;375.477
LAPRIDA;Sexta;9.962
LAS FLORES;Quinta;22.588
LEANDRO N. ALEM;Cuarta;15.253
LEZAMA;Quinta;5.034
LINCOLN;Cuarta;38.730
LOBERIA;Quinta;14.855
LOBOS;Tercera;33.382
LOMAS DE ZAMORA;Tercera;519.157
LUJAN;Primera;97.986
MAGDALENA;Tercera;16.379
MAIPU;Quinta;10.212
MALVINAS ARGENTINAS;Primera;285.415
MAR CHIQUITA;Quinta;33.065
MARCOS PAZ;Primera;50.660
MERCEDES;Primera;58.987
MERLO;Primera;434.550
MONTE;Quinta;20.755
MONTE HERMOSO;Sexta;9.459
MORENO;Primera;372.309
MORON;Primera;279.897
NAVARRO;Primera;15.946
NECOCHEA;Quinta;87.250
NUEVE DE JULIO;Cuarta;43.624
OLAVARRIA;Septima;99.434
PATAGONES;Sexta;28.927
PEHUAJO;Cuarta;36.546
PELLEGRINI;Sexta;5.270
PERGAMINO;Segunda;92.836
PILA;Quinta;3.660
PILAR;Primera;287.769
PINAMAR;Quinta;31.923
PRESIDENTE PERON;Tercera;75.162
PUAN;Sexta;14.175
PUNTA INDIO;Tercera;10.470
QUILMES;Tercera;480.256
RAMALLO;Segunda;31.646
RAUCH;Quinta;14.085
RIVADAVIA;Cuarta;14.971
ROJAS;Segunda;21.106
ROQUE PEREZ;Septima;11.621
SAAVEDRA;Sexta;18.669
SALADILLO;Septima;29.532
SALLIQUELO;Sexta;7.848
SALTO;Segunda;30.967
SAN ANDRES DE GILES;Segunda;21.299
SAN ANTONIO DE ARECO;Segunda;21.194
SAN CAYETANO;Quinta;7.436
SAN FERNANDO;Primera;137.506
SAN ISIDRO;Primera;270.890
SAN MIGUEL;Primera;250.967
SAN NICOLAS;Segunda;129.231
SAN PEDRO;Segunda;55.498
SAN VICENTE;Tercera;69.599
TANDIL;Quinta;117.853
TAPALQUE;Septima;8.918
TIGRE;Primera;338.554
TORDILLO;Quinta;2.431
TORNQUIST;Sexta;16.117
TRENQUE LAUQUEN;Cuarta;42.261
TRES ARROYOS;Sexta;53.947
TRES DE FEBRERO;Primera;284.774
TRES LOMAS;Sexta;6.952
VEINTICINCO DE MAYO;Septima;31.827
VICENTE LOPEZ;Primera;230.596
VILLA GESELL;Quinta;33.973
VILLARINO;Sexta;25.085
ZARATE;Segunda;103.528
SUIPACHA;Primera;10.065
